varWTI,skewWTI,curtWTI,entWTI,outlier_label
4.7926,1.7071,-0.051701,1.4926,no
1.941,0.46351,4.6472,1.0879,no
2.6562,10.7044,-3.3085,-4.0767,no
2.2091,7.4556,-1.3284,-3.3021,no
3.9529,-2.3548,2.3792,0.48274,no
2.8672,10.0008,-3.2049,-3.1095,no
-1.8584,7.886,-1.6643,-1.8384,no
5.0691,0.21313,0.20278,1.2095,no
-1.1804,11.5093,0.15565,-6.8194,no
-4.2859,8.5234,3.1392,-0.91639,no
2.8969,0.70768,2.29,1.8663,no
-2.2153,11.9625,0.078538,-7.7853,no
0.9297,-3.7971,4.6429,-0.2957,no
5.7456,10.1808,-4.7857,-4.3366,no
3.8846,-3.0336,2.5334,0.20214,no
1.3349,6.1189,0.46497,0.49826,no
1.2138,8.7986,-2.1672,-0.74182,no
4.6054,-4.0765,2.7587,0.31981,no
-0.2361,9.3221,2.1307,-4.3793,no
3.2051,8.6889,-2.9033,-0.7819,no
3.8117,10.1457,-4.0463,-4.5629,no
2.888,0.44696,4.5907,-0.24398,no
-3.551,1.8955,0.1865,-2.4409,yes
-1.1005,-7.2508,6.0139,0.36895,yes
3.2303,7.8384,-3.5348,-1.2151,no
2.108,6.7955,-0.1708,0.4905,no
3.3848,3.2674,0.90967,0.25128,no
5.2012,0.32694,0.17965,1.1797,no
3.6289,0.81322,1.6277,0.77627,no
1.5691,6.3465,-0.1828,-2.4099,no
4.1373,0.49248,1.093,1.8276,no
1.0009,7.7846,-0.28219,-2.6608,no
3.1896,5.7526,-0.18537,-0.30087,no
2.4012,1.6223,3.0312,0.71679,no
-0.278,8.1881,-3.1338,-2.5276,no
2.614,8.0081,-3.7258,-1.3069,no
4.6562,7.6398,-2.4243,-1.2384,no
5.807,5.0097,-2.2384,0.43878,no
4.2406,-2.4852,1.608,0.7155,no
-1.3,10.2678,-2.953,-5.8638,no
4.2164,9.4607,-4.9288,-5.2366,no
3.6702,2.9942,0.85141,0.30688,no
3.8584,0.78425,1.1033,1.7008,no
3.0242,-3.3378,2.5865,-0.54785,no
3.2585,-4.4614,3.8024,-0.15087,no
3.4092,5.4049,-2.5228,-0.89958,no
3.4985,3.1639,0.22677,-0.1651,no
-0.12624,10.3216,-3.7121,-6.1185,no
1.0284,9.767,-1.3687,-1.7853,no
3.8244,-3.1081,2.4537,0.52024,no
4.4338,9.887,-4.6795,-3.7483,no
0.68087,2.3259,4.9085,0.54998,no
-1.9667,11.8052,-0.40472,-7.8719,no
1.4896,3.4288,-4.0309,-1.4259,yes
3.6582,5.6864,-1.7157,-0.23751,no
0.4339,5.5395,2.033,-0.40432,no
0.5706,-0.0248,1.2421,-0.5621,no
-0.77288,-7.4473,6.492,0.36119,yes
1.8314,6.3672,-0.036278,0.049554,no
1.8205,6.7562,0.009991,0.39481,no
0.58836,10.7727,-1.3884,-4.3276,no
2.5559,3.3605,2.0321,0.26809,no
-1.3,10.2678,-2.953,-5.8638,no
0.77805,6.6424,-1.1425,-1.0573,no
0.89606,10.5471,-1.4175,-4.0327,no
3.106,9.5414,-4.2536,-4.003,no
2.8561,6.9176,-0.79372,0.48403,no
4.0446,11.1741,-4.3582,-4.7401,no
4.3684,9.6718,-3.9606,-3.1625,no
0.54777,10.3754,-1.5435,-4.1633,no
4.3634,0.46351,1.4281,2.0202,no
2.3678,-6.839,8.4207,-0.44829,no
4.0962,10.1891,-3.9323,-4.1827,no
1.3087,4.9228,2.0013,0.22024,no
1.3114,4.5462,2.2935,0.22541,no
0.66191,9.6594,-0.28819,-1.6638,no
4.2134,-2.806,2.0116,0.67412,no
3.4359,0.66216,2.1041,1.8922,no
-1.5075,1.9224,7.1466,0.89136,no
-0.95923,0.091039,6.2204,-1.4828,no
2.8209,7.3108,-0.81857,-1.8784,no
4.8077,2.2327,-0.26334,1.5534,no
3.5257,1.2829,1.9276,1.7991,no
-2.3242,11.5176,1.8231,-5.375,no
5.8862,5.8747,-2.8167,-0.30087,no
-1.9458,11.2217,1.9079,-3.4405,no
1.6849,8.7489,-1.2641,-1.3858,no
4.2586,11.2962,-4.0943,-4.3457,no
2.0153,0.43661,4.5864,-0.3151,no
4.2899,9.1814,-4.6067,-4.3263,no
0.88298,0.66009,6.0096,-0.43277,no
0.65497,5.1815,1.0673,-0.42113,no
2.0165,-0.25246,5.1707,1.0763,no
-0.11996,6.8741,0.91995,-0.6694,no
3.8496,9.7939,-4.1508,-4.4582,no
0.19081,9.1297,-3.725,-5.8224,no
4.2188,6.8162,-1.2804,0.76076,no
0.24835,7.6439,0.9885,-0.87371,no
